BGraves,BSwain,BXayah,BThresh,BKassadin,RNidalee,RRenekton,RCaitlyn,RLucian,RMaokai
BXayah,BThresh,BTaliyah,BFiora,BElise,RLucian,RBraum,RVel'Koz,RGragas,RLee Sin
BNami,BGalio,BTaliyah,BXayah,BKha'Zix,RCaitlyn,RElise,RGangplank,RSyndra,RSoraka
BCaitlyn,BAhri,BFiora,BLee Sin,BRakan,RVi,RTaliyah,RAshe,RRiven,RBrand
BFiora,BZiggs,BThresh,BHecarim,BLucian,RVel'Koz,RGraves,RSinged,RTaliyah,REzreal
BJhin,BFiora,BElise,BSoraka,BOrianna,RKha'Zix,ROlaf,RTaliyah,RAshe,RZed
BTeemo,BKalista,BShaco,BYasuo,BTaliyah,RGalio,RAshe,RGraves,RAnnie,RZyra
BJanna,BSyndra,BYasuo,BLucian,BShaco,RTaliyah,RZiggs,RGragas,RLee Sin,RZed
BThresh,BElise,BGnar,BLeBlanc,BSivir,RZilean,RAshe,RTaliyah,RLee Sin,RGragas
BYasuo,BJayce,BRakan,BXayah,BJax,RLee Sin,RBard,RTristana,RTaliyah,RFiora
BLee Sin,BRakan,BXayah,BGragas,BTaliyah,RJanna,RKha'Zix,RSyndra,RTwitch,RIrelia
BGragas,BCaitlyn,BFiora,BJanna,BTaliyah,RBrand,RSinged,RXayah,RAkali,RFizz
BBraum,BRumble,BWarwick,BTaliyah,BCaitlyn,RLucian,RAkali,RLee Sin,RKarma,RTwisted Fate
BCaitlyn,BGangplank,BSejuani,BZac,BTaliyah,RSivir,RThresh,RElise,RAhri,RGalio
BTwisted Fate,BLulu,BNunu,BCaitlyn,BGalio,RTaliyah,RKha'Zix,RSinged,RKarma,RLucian
BIvern,BKarma,BFiora,BTaliyah,BTwitch,RHecarim,RYasuo,RCaitlyn,RBlitzcrank,RRumble
BYasuo,BRengar,BAkali,BJhin,BTaliyah,RKarma,RElise,RLucian,RSyndra,RFiora
BBlitzcrank,BLucian,BZac,BJayce,BKarthus,RThresh,RTaliyah,RPantheon,RRumble,RAshe
BRengar,BFiora,BBlitzcrank,BLucian,BZiggs,RAhri,RTaliyah,RXayah,RJayce,RLee Sin
BCaitlyn,BKha'Zix,BBlitzcrank,BRiven,BOrianna,RNidalee,RTaliyah,RPoppy,RTwitch,RAlistar
BAhri,BElise,BLulu,BDraven,BPoppy,RCaitlyn,RSion,RSoraka,RLee Sin,RLeBlanc
BMaokai,BLucian,BTaliyah,BKha'Zix,BJarvan IV,RLeBlanc,RBlitzcrank,RHecarim,RGalio,RCaitlyn
BSoraka,BCaitlyn,BGragas,BTaliyah,BGnar,RTristana,RKha'Zix,RNunu,RRiven,RAurelion Sol
BRiven,BKatarina,BKindred,BBrand,BZiggs,RXayah,RWarwick,RTaliyah,RZed,RGaren
BIvern,BTaliyah,BJayce,BKarma,BEzreal,RLulu,RCaitlyn,ROlaf,RLee Sin,RKatarina
BLulu,BCaitlyn,BXin Zhao,BAhri,BZac,RTaliyah,RMalphite,RVayne,RSona,RKha'Zix
BSoraka,BGalio,BZac,BTaliyah,BEzreal,RXayah,RZiggs,RBard,RNidalee,RRiven
BVarus,BGragas,BOrianna,BFiora,BTaliyah,REzreal,RKha'Zix,RRenekton,RBard,RKassadin
BRiven,BTaliyah,BLee Sin,BThresh,BTristana,RKarma,RElise,REzreal,RAkali,RZed
BKarthus,BKha'Zix,BBard,BNautilus,BLucian,RCaitlyn,RRumble,RXayah,RSoraka,RWarwick
BYasuo,BZac,BAurelion Sol,BVarus,BFiora,RXayah,RRakan,RRyze,RLee Sin,RLissandra
BEzreal,BIvern,BIrelia,BKarma,BKatarina,RTaliyah,RVarus,RLee Sin,RVel'Koz,RFiora
BKled,BJhin,BWukong,BRakan,BLucian,RRiven,RTwitch,RLee Sin,RTahm Kench,RViktor
BYasuo,BWarwick,BKled,BNami,BVarus,RLucian,RKarma,RElise,RSyndra,RCamille
BEzreal,BElise,BRakan,BGragas,BYasuo,RLee Sin,RKarma,RTaliyah,RLucian,RKassadin
BLucian,BThresh,BJayce,BEkko,BWarwick,RJanna,RSivir,RZac,RTaliyah,RHeimerdinger
BGalio,BJayce,BLucian,BAlistar,BLee Sin,RKled,RThresh,RDraven,RTaliyah,RNunu
BCaitlyn,BBraum,BGragas,BZed,BAkali,RTaliyah,RKha'Zix,REzreal,RGalio,RLeBlanc
BEvelynn,BLulu,BSyndra,BLucian,BJayce,RSwain,RNidalee,RDraven,RZed,RTaliyah
BViktor,BTahm Kench,BWarwick,BKarma,BDraven,RPantheon,RVarus,RTaliyah,RKassadin,RHecarim
BCaitlyn,BZed,BSona,BGalio,BElise,RZiggs,RNami,RKha'Zix,RTeemo,RAurelion Sol
BKha'Zix,BAhri,BGragas,BLulu,BCaitlyn,RSoraka,RWukong,RLucian,RWarwick,RTaliyah
BIvern,BTaliyah,BJhin,BRumble,BYasuo,RVeigar,RGragas,RXayah,RMorgana,RGalio
BVarus,BTaliyah,BDarius,BLeona,BJarvan IV,RLee Sin,RSona,RLucian,RTeemo,RAhri
BViktor,BTwitch,BEvelynn,BKarma,BJarvan IV,RShen,RGalio,RWarwick,RCaitlyn,RXayah
BXayah,BSinged,BRek'Sai,BTaliyah,BCassiopeia,RViktor,RKha'Zix,RCaitlyn,RJayce,RThresh
BDarius,BThresh,BXayah,BVarus,BIvern,RKassadin,RCaitlyn,RWarwick,RJax,RMorgana
BLeona,BVolibear,BKennen,BJinx,BAhri,RMaster Yi,RTalon,RBraum,RTaliyah,RLucian
BEzreal,BAnivia,BThresh,BEvelynn,BGalio,RDraven,RYasuo,RLee Sin,RTaliyah,RGragas
BCaitlyn,BDr. Mundo,BZyra,BElise,BTwisted Fate,RTaliyah,RYasuo,RLee Sin,RGragas,RDraven
BPantheon,BCaitlyn,BTaliyah,BWarwick,BRenekton,RCassiopeia,RRengar,RAshe,RMorgana,RShen
BTaliyah,BJayce,BIvern,BLulu,BDraven,RVel'Koz,RKarma,RShen,RXayah,RGragas
BRyze,BRek'Sai,BShen,BJax,BTwitch,RTaliyah,RSyndra,RKog'Maw,RGangplank,RWarwick
BSoraka,BVayne,BGraves,BXayah,BAnivia,ROrianna,RTwitch,RLee Sin,RQuinn,RBard
BCaitlyn,BFiora,BJarvan IV,BKarma,BSyndra,RZac,RLulu,RTaliyah,RGangplank,RTwitch
BTaliyah,BLucian,BNidalee,BSwain,BJayce,RGalio,RKha'Zix,RFizz,RTwitch,RLeona
BJanna,BWarwick,BXayah,BGalio,BTwisted Fate,RSona,RJayce,RGragas,RCaitlyn,RAurelion Sol
BLee Sin,BLucian,BThresh,BRenekton,BTaliyah,RJanna,RKassadin,REzreal,RGragas,REvelynn
BRakan,BDraven,BWarwick,BTaliyah,BOlaf,RJayce,RVel'Koz,RLee Sin,REkko,RVayne
BSona,BCaitlyn,BRenekton,BGangplank,BLee Sin,ROlaf,RSoraka,RLucian,RAkali,RXayah
BVayne,BAurelion Sol,BAhri,BVi,BJax,RZac,RRammus,RTwitch,RZed,RLulu
BLee Sin,BSwain,BVeigar,BTaliyah,BDraven,RLulu,RJax,RTwisted Fate,RKha'Zix,RVayne
BOrianna,BYasuo,BKha'Zix,BLucian,BRengar,RElise,RTrundle,RTwitch,RGangplank,RXayah
BFiora,BSion,BRyze,BLucian,BWarwick,RJanna,RZac,RXayah,RMalphite,RKennen
BTwisted Fate,BZac,BLeona,BShen,BLucian,RTaliyah,RThresh,REzreal,RElise,REkko
BLulu,BTwitch,BShen,BGraves,BXayah,RRiven,RLissandra,RLeona,RCaitlyn,RVi
BDraven,BGangplank,BBlitzcrank,BNunu,BSinged,RZilean,RRumble,RFiddlesticks,RXayah,RCaitlyn
BVladimir,BSion,BVayne,BKha'Zix,BGalio,RZac,RYasuo,RVel'Koz,RVeigar,RXayah
BXayah,BLee Sin,BGangplank,BCaitlyn,BLulu,RYasuo,RNami,RShaco,RTwitch,RSyndra
BAurelion Sol,BElise,BKog'Maw,BBard,BGraves,RZilean,RTeemo,RXayah,RZed,RLee Sin
BFiora,BThresh,BTaliyah,BElise,BCaitlyn,RZac,RLucian,RLee Sin,RSinged,RKarma
BKassadin,BThresh,BShaco,BPoppy,BCaitlyn,RXayah,RGraves,RAatrox,RAshe,RKarma
BRiven,BZilean,BOrianna,BDarius,BLucian,RTaliyah,RSivir,RZac,RKennen,RBraum
BThresh,BCaitlyn,BXayah,BRenekton,BGragas,RLee Sin,RLucian,RNami,RWarwick,RTaliyah
BRakan,BYasuo,BXayah,BElise,BAshe,RVladimir,RCaitlyn,RBard,RGraves,RLulu
BElise,BSyndra,BLux,BJarvan IV,BDraven,RCaitlyn,RFiora,RTaliyah,RThresh,RNunu
BKennen,BSoraka,BKatarina,BZac,BDraven,RCaitlyn,RLee Sin,RKassadin,RJayce,RTaliyah
BThresh,BZac,BTaliyah,BRiven,BDraven,RWukong,RLucian,RSyndra,RFiddlesticks,RBard
BBard,BLucian,BZed,BKha'Zix,BSinged,RRakan,RXayah,RAurelion Sol,RMaokai,RElise
BLeona,BSejuani,BDarius,BSyndra,BEzreal,RGragas,RPantheon,RZac,RCaitlyn,RXayah
BZed,BTristana,BZac,BGalio,BBraum,REzreal,RTaliyah,RKled,RIvern,RCassiopeia
BJayce,BKarma,BZiggs,BMalphite,BNunu,RGraves,RSwain,RVayne,RXayah,RLulu
BNami,BJayce,BKha'Zix,BXayah,BFizz,RTeemo,RTaliyah,RHecarim,RMorgana,RAshe
